noise type,motion_blur,glass_blur,scale,identity,canny_edges,rotate,shear,dotted_line,brightness,stripe,translate,shot_noise,impulse_noise,zigzag,spatter,fog
0.0,0.5111399999999999,0.68672,0.23388,0.79362,0.43518,0.5568799999999999,0.6055200000000001,0.65594,0.10230000000000002,0.09222000000000001,0.13022,0.7541800000000001,0.43924,0.38146,0.61816,0.0998
2.0,0.5247399999999999,0.7137800000000001,0.2944,0.7825999999999999,0.4438,0.57096,0.6331200000000001,0.7092,0.28847999999999996,0.10185999999999999,0.11428,0.76378,0.68864,0.5361800000000001,0.72398,0.11816
multiple,0.52084,0.7162,0.27202000000000004,0.76224,0.4358000000000001,0.5825600000000001,0.64612,0.70688,0.48516000000000004,0.11283999999999998,0.1133,0.75098,0.7119,0.5727800000000001,0.72284,0.26978
1.0,0.5264800000000001,0.71224,0.1936,0.7769199999999999,0.41739999999999994,0.5899,0.6514200000000001,0.71218,0.11328,0.11901999999999999,0.10739999999999998,0.7557,0.6849000000000001,0.55884,0.72324,0.10826
