noise type,motion_blur,glass_blur,scale,identity,canny_edges,rotate,shear,dotted_line,brightness,stripe,translate,shot_noise,impulse_noise,zigzag,spatter,fog
0.0,0.27978,0.34598,0.2233,0.48608,0.24232,0.32008000000000003,0.35782,0.36024,0.12868000000000002,0.10013999999999998,0.11376,0.44582,0.24046000000000003,0.24474,0.35128,0.10546
2.0,0.3961,0.51998,0.2676,0.57924,0.30902,0.42934,0.4853599999999999,0.5218999999999999,0.27470000000000006,0.14428,0.11276,0.56304,0.5178200000000001,0.38498,0.53746,0.12054000000000001
multiple,0.39074,0.5685800000000001,0.14312,0.5900999999999998,0.32904,0.46722,0.5039,0.54964,0.51666,0.18812,0.10162,0.59372,0.5660399999999999,0.45587999999999995,0.5688000000000001,0.17588
1.0,0.42866,0.60282,0.23594000000000004,0.6313,0.37174,0.48836,0.53692,0.57678,0.11942,0.11547999999999999,0.10962000000000001,0.62138,0.57088,0.43796,0.5969399999999999,0.09725999999999999
