noise type,motion_blur,glass_blur,scale,identity,canny_edges,rotate,shear,dotted_line,brightness,stripe,translate,shot_noise,impulse_noise,zigzag,spatter,fog
0.0,0.5157999999999999,0.65272,0.23226,0.79034,0.43610000000000004,0.53144,0.59394,0.6020399999999999,0.11195999999999999,0.09004,0.1559,0.73902,0.36654,0.33065999999999995,0.5724799999999999,0.10094
2.0,0.5052800000000001,0.6965999999999999,0.23048000000000002,0.7667200000000001,0.42202,0.55506,0.6113,0.6831599999999999,0.3088,0.11091999999999999,0.11761999999999999,0.7454799999999999,0.67658,0.5098,0.7087,0.11282
multiple,0.49828,0.70824,0.29018,0.7266199999999999,0.4208200000000001,0.5684,0.6283,0.6720400000000001,0.64054,0.21581999999999998,0.10964,0.72448,0.69082,0.53348,0.69636,0.25972
1.0,0.48622000000000004,0.68026,0.25038,0.73564,0.42672,0.55636,0.6191000000000001,0.66862,0.26358000000000004,0.0913,0.11778,0.7247600000000001,0.6644,0.52454,0.69232,0.10946
