noise type,motion_blur,glass_blur,scale,identity,canny_edges,rotate,shear,dotted_line,brightness,stripe,translate,shot_noise,impulse_noise,zigzag,spatter,fog
0.0,0.68956,0.88462,0.38502,0.9364999999999999,0.5886600000000001,0.73518,0.80684,0.83446,0.19054,0.1582,0.17106,0.90724,0.75708,0.5919399999999999,0.8662799999999999,0.23544
2.0,0.7137,0.8897599999999999,0.42623999999999995,0.93376,0.64494,0.74184,0.83208,0.8926000000000001,0.40014000000000005,0.13391999999999998,0.15262000000000003,0.9176,0.87802,0.73102,0.9016200000000001,0.4241400000000001
multiple,0.70128,0.8930399999999998,0.43454,0.93144,0.6269799999999999,0.7485799999999999,0.8328800000000001,0.90212,0.81864,0.28375999999999996,0.14809999999999998,0.9173,0.8978399999999999,0.78978,0.90338,0.7092400000000001
1.0,0.7138200000000001,0.8877200000000001,0.41522,0.9323799999999999,0.6420199999999999,0.7463399999999999,0.83156,0.8965799999999999,0.24749999999999997,0.19490000000000002,0.15195999999999998,0.9169600000000001,0.8830399999999999,0.7459200000000001,0.90248,0.4111000000000001
