noise type,motion_blur,glass_blur,scale,identity,canny_edges,rotate,shear,dotted_line,brightness,stripe,translate,shot_noise,impulse_noise,zigzag,spatter,fog
0.0,0.81066,0.9159599999999999,0.6822800000000001,0.9778800000000001,0.6193,0.83988,0.92756,0.9417199999999999,0.25983999999999996,0.16732,0.28956,0.962,0.90184,0.7761399999999999,0.94998,0.30832000000000004
2.0,0.83722,0.9334800000000001,0.7504,0.9801399999999999,0.6339,0.8540199999999999,0.9387800000000001,0.96114,0.45131999999999994,0.23578000000000002,0.30926,0.9696400000000001,0.94522,0.87022,0.9631399999999999,0.4473
multiple,0.8461000000000001,0.94622,0.76436,0.9799200000000001,0.63496,0.8649600000000002,0.93998,0.97034,0.86582,0.5062,0.29072,0.9734,0.96242,0.9190200000000001,0.96844,0.71652
1.0,0.85208,0.9457799999999998,0.7225,0.97958,0.6540400000000001,0.8629999999999999,0.9377000000000001,0.9654999999999999,0.5625,0.4443,0.3056,0.9709399999999999,0.9500599999999999,0.8897999999999999,0.96486,0.52882
